Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,22.100000,22.860001,21.900000,22.549999,22.056328,1573200
2021-11-12,22.690001,22.799999,21.870001,22.000000,21.518370,1081500
2021-11-16,22.200001,22.200001,20.690001,20.889999,20.432669,1412100
2021-11-17,21.030001,21.139999,20.209999,20.650000,20.197922,1063300
2021-11-18,20.709999,20.870001,20.129999,20.360001,19.914274,777100
2021-11-19,20.250000,20.709999,19.930000,20.260000,19.955782,917200
2021-11-22,20.389999,20.420000,19.790001,20.299999,19.995178,896900
2021-11-23,20.299999,20.450001,19.860001,20.120001,19.817883,681600
2021-11-24,19.930000,20.620001,19.799999,20.620001,20.310375,817400
2021-11-25,20.660000,21.049999,20.490000,20.709999,20.399021,524500
2021-11-26,20.500000,20.530001,19.809999,20.299999,19.995178,566600
2021-11-29,20.600000,20.660000,19.940001,20.139999,19.837582,627900
2021-11-30,20.290001,20.290001,18.969999,19.309999,19.020046,1387900
2021-12-01,19.510000,19.780001,18.820000,19.040001,18.754099,1176000
2021-12-02,19.230000,19.570000,19.000000,19.350000,19.059444,630700
2021-12-03,19.480000,19.809999,19.400000,19.639999,19.345089,750000
2021-12-06,19.799999,20.830000,19.639999,20.580000,20.270975,633400
2021-12-07,20.770000,21.180000,20.660000,20.930000,20.615719,468700
2021-12-08,21.010000,22.059999,20.870001,21.299999,20.980162,576800
2021-12-09,21.000000,21.420000,20.820000,21.180000,20.861965,533000
2021-12-10,21.370001,21.510000,20.990000,21.450001,21.127913,525000
2021-12-13,21.570000,21.760000,21.280001,21.620001,21.295359,459200
2021-12-14,21.510000,21.760000,20.940001,21.100000,20.783167,790700
2021-12-15,21.110001,21.150000,20.730000,21.100000,20.783167,562100
2021-12-16,21.209999,21.879999,21.209999,21.709999,21.384007,479200
2021-12-17,21.520000,21.520000,20.730000,20.750000,20.438423,1130300
2021-12-20,20.629999,20.709999,19.910000,20.440001,20.133078,741900
2021-12-21,20.440001,20.590000,19.940001,20.379999,20.073978,434500
2021-12-22,20.500000,20.500000,19.910000,20.090000,19.788332,472500
2021-12-23,20.090000,20.240000,19.910000,20.190001,19.886831,260700
2021-12-27,20.190001,20.500000,20.090000,20.450001,20.142927,244700
2021-12-28,20.500000,20.969999,20.410000,20.610001,20.300526,427600
2021-12-29,20.600000,20.910000,20.570000,20.610001,20.300526,365200
2021-12-30,20.480000,20.709999,19.950001,19.950001,19.798117,646300
2022-01-03,20.110001,20.809999,20.049999,20.480000,20.324080,499800
2022-01-04,20.570000,20.709999,20.000000,20.200001,20.046213,600900
2022-01-05,20.270000,20.270000,18.980000,19.000000,18.855349,745100
2022-01-06,19.160000,19.520000,18.780001,19.090000,18.944664,1011500
2022-01-07,18.980000,19.600000,18.959999,19.340000,19.192760,483500
2022-01-10,19.340000,19.530001,19.120001,19.400000,19.252302,398800
2022-01-11,19.400000,19.820000,19.250000,19.820000,19.669106,646400
2022-01-12,19.840000,20.790001,19.740000,20.549999,20.393547,721100
2022-01-13,20.500000,20.790001,20.389999,20.690001,20.532482,343100
2022-01-14,20.600000,20.930000,20.250000,20.430000,20.274462,613300
2022-01-17,20.430000,20.620001,20.270000,20.270000,20.115681,331500
2022-01-18,20.280001,20.690001,20.040001,20.639999,20.482862,608600
2022-01-19,20.719999,20.879999,20.320000,20.320000,20.165298,610500
2022-01-20,20.340000,20.820000,20.240000,20.660000,20.502710,519700
2022-01-21,20.690001,20.740000,20.260000,20.260000,20.105757,580100
2022-01-24,20.209999,20.280001,19.820000,19.940001,19.788193,434700
2022-01-25,19.910000,20.230000,19.610001,20.100000,19.946974,559100
2022-01-26,20.200001,20.850000,20.150000,20.260000,20.105757,614300
2022-01-27,20.410000,20.540001,19.940001,20.180000,20.026365,708200
2022-01-28,20.110001,20.469999,19.980000,20.400000,20.244690,795600
2022-01-31,20.480000,21.080000,20.299999,20.870001,20.711113,596200
2022-02-01,20.990000,21.190001,20.379999,20.680000,20.522558,587600
2022-02-02,20.680000,20.809999,20.299999,20.530001,20.373701,552300
2022-02-03,20.530001,20.639999,19.670000,19.820000,19.669106,907100
2022-02-04,19.780001,19.860001,19.270000,19.610001,19.460705,611700
2022-02-07,19.530001,19.990000,19.150000,19.740000,19.589714,838200
2022-02-08,19.700001,20.040001,19.540001,19.900000,19.748497,510600
2022-02-09,19.930000,20.250000,19.830000,19.889999,19.738571,423900
2022-02-10,19.910000,20.410000,19.809999,19.850000,19.698877,851400
2022-02-11,20.010000,20.150000,19.049999,19.219999,19.073673,1090700
2022-02-14,19.270000,19.450001,19.049999,19.290001,19.143141,317200
2022-02-15,19.379999,19.709999,19.299999,19.610001,19.460705,374200
2022-02-16,19.549999,19.950001,19.219999,19.360001,19.212608,744200
2022-02-17,19.230000,19.469999,19.150000,19.150000,19.004206,502600
2022-02-18,19.240000,19.559999,19.160000,19.290001,19.143141,508300
2022-02-21,19.490000,19.490000,18.690001,18.690001,18.547709,691200
2022-02-22,18.790001,19.049999,18.420000,18.480000,18.339308,721000
2022-02-23,18.490000,19.040001,18.490000,18.750000,18.607252,661700
2022-02-24,18.299999,18.730000,17.900000,18.500000,18.359156,702200
2022-02-25,18.500000,18.760000,18.170000,18.420000,18.279764,891700
2022-03-02,18.299999,18.990000,18.200001,18.450001,18.309536,779700
2022-03-03,18.459999,18.889999,18.410000,18.450001,18.309536,491000
2022-03-04,18.350000,18.639999,18.160000,18.540001,18.398851,799200
2022-03-07,18.360001,19.010000,17.580000,17.600000,17.466007,1085100
2022-03-08,17.670000,17.799999,17.260000,17.370001,17.237759,1019700
2022-03-09,17.459999,17.799999,17.299999,17.480000,17.346920,835400
2022-03-10,17.500000,17.540001,17.219999,17.320000,17.188139,1333800
2022-03-11,17.450001,17.610001,17.059999,17.110001,16.979738,852800
2022-03-14,17.160000,17.469999,17.030001,17.049999,16.920193,571600
2022-03-15,17.040001,17.320000,16.809999,17.120001,16.989662,663800
2022-03-16,17.260000,17.430000,17.070000,17.350000,17.217911,656700
2022-03-17,17.430000,17.620001,17.100000,17.580000,17.446159,976500
2022-03-18,17.570000,18.250000,17.570000,18.180000,18.041592,855900
2022-03-21,18.209999,18.410000,17.770000,17.879999,17.743874,495000
2022-03-22,18.020000,18.200001,17.850000,17.980000,17.843113,413200
2022-03-23,17.980000,18.049999,17.610001,17.780001,17.644638,546800
2022-03-24,17.879999,18.299999,17.830000,18.080000,17.942352,573800
2022-03-25,18.100000,18.510000,18.090000,18.230000,18.091209,910500
2022-03-28,18.389999,18.690001,18.100000,18.490000,18.349232,847300
2022-03-29,18.700001,19.600000,18.620001,19.520000,19.371389,2099000
2022-03-30,19.200001,19.200001,17.730000,18.160000,18.021744,3241900
2022-03-31,18.190001,18.389999,17.629999,17.850000,17.714104,1667400
2022-04-01,17.930000,18.059999,17.400000,17.700001,17.565247,1360800
2022-04-04,17.719999,18.110001,17.570000,17.959999,17.823265,689500
2022-04-05,17.969999,18.139999,17.549999,17.549999,17.416388,966700
2022-04-06,17.480000,17.480000,17.030001,17.150000,17.019432,825500
2022-04-07,17.150000,17.200001,16.889999,17.040001,16.910271,1207300
2022-04-08,17.059999,17.430000,16.930000,17.020000,16.890423,735200
2022-04-11,16.940001,17.160000,16.770000,16.850000,16.721718,524000
2022-04-12,17.049999,17.150000,16.670000,16.709999,16.582783,685200
2022-04-13,16.860001,16.980000,16.639999,16.770000,16.642326,244600
2022-04-14,16.770000,16.969999,16.600000,16.760000,16.632402,401200
2022-04-18,17.250000,18.330000,17.250000,18.180000,18.041592,2603500
2022-04-19,18.200001,19.520000,18.110001,19.100000,18.954588,3199400
2022-04-20,19.110001,19.350000,18.809999,18.920000,18.775957,849400
2022-04-22,18.750000,19.389999,18.500000,19.070000,18.924816,1119500
2022-04-25,18.930000,20.049999,18.730000,20.000000,19.847734,2063200
2022-04-26,19.879999,20.760000,19.780001,20.360001,20.204994,2147600
2022-04-27,20.540001,20.620001,19.780001,20.330000,20.175222,1354600
2022-04-28,20.389999,20.680000,20.010000,20.680000,20.522558,1139600
2022-04-29,20.750000,20.850000,20.410000,20.459999,20.304232,1507600
2022-05-02,20.459999,20.540001,19.790001,20.540001,20.383625,1641100
2022-05-03,20.549999,20.809999,20.260000,20.590000,20.433243,1490000
2022-05-04,20.549999,21.160000,20.070000,21.160000,20.998903,1564600
2022-05-05,21.030001,21.379999,20.500000,21.070000,20.909588,2135300
2022-05-06,21.110001,21.309999,20.530001,20.530001,20.373701,1066300
2022-05-09,20.290001,20.480000,19.580000,19.629999,19.480551,1183800
2022-05-10,19.750000,19.860001,19.139999,19.360001,19.212608,1212800
2022-05-11,19.410000,19.889999,19.160000,19.389999,19.242378,1120700
2022-05-12,19.330000,20.049999,19.299999,19.980000,19.827887,861700
2022-05-13,20.799999,22.330000,20.049999,22.100000,21.931747,3224300
2022-05-16,22.100000,22.420000,21.799999,21.990000,21.822584,1565900
2022-05-17,22.150000,22.840000,21.799999,22.580000,22.408092,1446000
2022-05-18,22.570000,22.700001,21.809999,22.150000,21.981367,947400
2022-05-19,22.160000,22.459999,21.750000,22.139999,21.971443,757200
