Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,29.500000,29.850000,29.150000,29.320000,17.433146,76466700
2021-10-13,29.170000,29.700001,29.080000,29.629999,17.617466,55605400
2021-10-14,29.860001,30.219999,29.500000,29.680000,17.647196,76172700
2021-10-15,29.799999,29.840000,29.510000,29.600000,17.599628,72479900
2021-10-18,29.400000,29.639999,28.990000,29.450001,17.510443,68971300
2021-10-19,29.240000,29.320000,27.860001,28.010000,16.654242,111484000
2021-10-20,28.270000,28.799999,27.950001,28.500000,16.945587,56063300
2021-10-21,27.860001,28.180000,26.920000,27.450001,16.321278,101567700
2021-10-22,27.100000,27.760000,25.770000,27.180000,16.160740,138384700
2021-10-25,27.760000,29.309999,27.650000,29.040001,17.266663,135830600
2021-10-26,28.799999,29.230000,28.600000,28.760000,17.100182,57865600
2021-10-27,28.830000,29.059999,28.469999,28.690001,17.058561,57579200
2021-10-28,28.530001,29.250000,28.250000,28.959999,17.219095,89578000
2021-10-29,29.129999,29.190001,26.969999,27.150000,16.142902,157340000
2021-11-01,27.709999,28.320000,27.370001,28.000000,16.648298,102157200
2021-11-03,27.709999,27.850000,26.799999,26.850000,15.964528,83475800
2021-11-04,27.020000,27.240000,25.850000,26.000000,15.459131,92603400
2021-11-05,26.290001,26.540001,25.780001,25.850000,15.369946,86264000
2021-11-08,25.809999,26.660000,25.719999,26.120001,15.530485,59704100
2021-11-09,26.200001,26.950001,26.200001,26.639999,15.839664,73021700
2021-11-10,26.600000,26.930000,26.160000,26.430000,15.714803,68176300
2021-11-11,26.879999,26.879999,26.240000,26.450001,15.726696,60848900
2021-11-12,26.309999,27.160000,26.000000,26.990000,16.047770,85962500
2021-11-16,27.260000,27.559999,26.629999,27.270000,16.214252,60978200
2021-11-17,27.389999,27.440001,26.490000,26.580000,15.803989,82106800
2021-11-18,26.690001,26.750000,26.049999,26.540001,15.780207,63993000
2021-11-19,26.100000,26.280001,25.780001,26.100000,15.518591,85893800
2021-11-22,26.299999,27.129999,26.290001,26.360001,15.673184,59195200
2021-11-23,26.610001,28.049999,26.500000,27.799999,16.529379,108382300
2021-11-24,27.780001,28.440001,27.510000,28.370001,16.868294,64263300
